Table7 S2 tidal Clment parameters (see table 5 for explanation),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Table 7. S2 TIDAL CURRENT PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Station,Record,Instr.,Above,,Fourier Coefficients,,,,,,,,,Current Ellipse Parameters,,,,,,,,
Lat.,Length,Depth,Bottom,,East,Error,Phase,Error,North,Error,Phase,Error,,Umajor,Error,Uminor,Error,Phase,Error,Orien,Error,
Long.,(Days),(m),(m),,(cm/s),(cm),(deg-g),(deg),(cm/s),(cm),(deg-g),(deg),,(cm/sec),(cm),(cm/sec),(cm),(deg-g),(deg),(deg-true),(deg),
,,,,,,,,,,,,,,,,,,,,,,
Scotian Shelf,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
69 23 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
C. PORPOISE,74,33,65,,0.2,0,91,11,0.8,0.1,120,7,,0.8,0,0.1,0,119,0,13,0,
43 13 N,74,68,30,,0.3,0.1,317,18,1,0.2,73,9,,0,0.9,0.3,0,75,0,352,0,
70 17 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOSTON L.S.,369,2,31,,0.8,0,216,0,0.1,0,258,0,,0.8,0,0.1,0,216,0,84,0,
42 20 N,,,,,,,,,,,,,,,,,,,,,,
70 45 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bay of Fundy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BED65,29c,25,37a,,12.7,0,67,0,9.9,0,69,0,,16.1,0,0.2,0,68,0,52,0,
45 08 N,,,,,,,,,,,,,,,,,,,,,,
65 08 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BED66,29c,25,13a,,9.6,0,63,0,5.5,0,68,0,,11.1,0,0.4,0,64,0,60,0,
45 25 N,,,,,,,,,,,,,,,,,,,,,,
65 07 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BED64,29c ,10,40a,,15.6,0,63,0,9.5,0,73,0,,18.2,0,1.4,0,66,0,59,0,
45 13 N,29c,25,25a,,13.1,0,72,0,7.9,0,72,0,,15.3,0,0,0,72,0,59,0,
65 14 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BED63,29c,25,25a,,12.1,0,67,0,6.7,0,67,0,,13.8,0,0,0,67,0,61,0,
45 19 N,,,,,,,,,,,,,,,,,,,,,,
65 20 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BED62,29c,13,77b,,15.5,0,60,0,6.5,0,79,0,,16.7,0,1.9,0,63,0,68,0,
44 39 N,,,,,,,,,,,,,,,,,,,,,,
66 02 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BED61,29c,13,94b,,11.9,0,64,0,4,0,81,0,,12.5,0,1.1,0,66,0,72,0,
43 49 N,29c,50,57b,,12. 3,0,61,0,5. 3,0,70,0,,13.4,0,0.8,0,62,0,67,0,
66 12 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BED60,29c,13,71b,,9.5,0,71,0,5.5,0,81,0,,10.9,0,0.8,0,73,0,60,0,
45 00 N,,,,,,,,,,,,,,,,,,,,,,
66 24 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Georges Bank,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
L,145,51,15,,8,0.3,174,3,9.5,0.6,66,3,,10. 2,0. 5,-7,0.3,44,5,330,4,
41 42 N,,,,,,,,,,,,,,,,,,,,,,
66 36 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
P4,29,79,140,,5.9,0,204,0,5.1,0,75,0,,7.4,0,-2.7,0,41,0,309,0,
42 12 N,29,129,90,,5.3,0,200,0,5,0,43,0,,7.1,0,-1.4,0,31,0,313,0,
66 41 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
P5,29,19,52,,9.5,0,197,0,12.8,0,85,0,,13.6,0,-5.3,0,69,0,335,0,
45 02 N,29,44,27,,6.7,0,158,0,9.3,0,49,0,,9.7,0,6,0,34,0,338,0,
66 41 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
P6,58,11,59,,7.6,1,156,2,12,0.3,41,1,,12.6,0.5,-6.6,0.7,30,2,339,4,
41 53 N,58,26,44,,7.5,0.2,171,4,10.2,0.5,59,2,,10.8,0.3,-6.5,0,43,1,335,4,
66 41 W,58,36,34,,7.2,0.5,20S,2,8.7,0. 5,95,1,,9.6,0.5,-6.1,0.5,73,1,328,0,
,,,,,,,,,,,,,,,,,,,,,,
M4,58,10,67,,3.3,0,151,0,4.1,0,77,0,,4.3,2.7,-3,2,95,37,25,0,
40 56 N,58,30,41,,5.1,0,178,0,0,0,7,0,,6.1,1.3,-4.9,1.7,62,15,338,0,
66 58 W,58,69,8,,1.1,0,172,0,1.8,0,51,0,,1.9,2.4,-0.9,1.7,40,79,337,0,
,,,,,,,,,,,,,,,,,,,,,,
P1,15,30,173,,7.9,0,231,0,3,0,127,0,,7.9,0,-2.9,0,54,0,270,0,
42 12 N,15,40,103,,5.6,0,213,0,2.4,0,115,0,,5.6,0,-2.4,0,35,0,274,0,
67 15 W,15,75,128,,5.1,0,191,0,4.9,0,1,0,,7,0,0.6,0,6,0,314,0,
,,,,,,,,,,,,,,,,,,,,,,
P2,30,14,30,,9,0.9,188,3,14.6,1.7,11,2,,16.6,1.1,-4.2,0.3,33,5,330,6,
42 03 N,15,30,20,,5.4,0,168,0,10.2,0,28,0,,11.1,0,-3.2,0,20,0,330,0,
67 15 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
P3,15,15,30,,6.8,0,130,0,13.5,0,20,0,,14,0,-5.7,0,20,0,347,0,
41 53 N,15,30,15,,6.9,0,158,0,11.9,0,31,0,,12.8,0,-5.1,0,21,0,337,0,
67 15 W,15,40,5,,13.5,0,28,0,27.2,0,305,0,,27.2,0,-13.4,0,307,0,5,0,
,,,,,,,,,,,,,,,,,,,,,,
M3*,58,36,8,,6.5,0,164,0,8.8,0,59,0,,9.1,1,-6.1,0.9,46,6,341,0,
41 20 N,,,,,,,,,,,,,,,,,,,,,,
67 16 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
M9*,58,71,8,,3.3,0,189,0,4.9,0,73,0,,5.2,1.5,-2.8,1,59,17,335,0,
40 54 N,,,,,,,,,,,,,,,,,,,,,,
67 24 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
A,261,15,70,,3.4,0.9,163,34,4.2,0.9,50,19,,4.7,0.8,-2.6,0.9,33,23,331,22,
40 51 N,957,45,40,,4.3,0.5,166,10,5.3,0.6,56,8,,5.7,0.5,-3.7,0.6,35,10,330,11,
67 24 W,957,75,10,,3.2,0.7,152,15,4.4,0.6,37,13,,4.7,0.6,-2.7,0.7,22,11,33S,9,
,290,84,1,,2.4,0.3,135,19,3.6,0.2,27,8,,3.8,0.2,-2.2,0.3,15,6,344,13,
,,,,,,,,,,,,,,,,,,,,,,
C,116,15,23,,7.1,0.2,160,5,9.4,0.3,55,5,,9.7,0.3,-6.7,0.2,40,5,339,1,
41 24 N,,,,,,,,,,,,,,,,,,,,,,
67 34 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
K**,58,10,54,,4.3,1,18S,11,6.8,0.9,66,10,,7.2,0.6,-3.6,1.6,56,9,339,7,
41 04 N,174,15,45,,5.5,0.5,173,6,7.2,1.1,62,8,,7.3,1,-4.7,0.7,44,11,333,10,
67 34 W,58,34,30,,4.3,1,185,11,6.8,0.9,66,10,,7.2,0.6,-3.6,1.6,56,9,339,7,
,174,54,10,,4.7,0.6,158,5,6.4,0.9,50,7,,6.7,0.8,-4.2,0.8,36,10,338,7,
,87,58,4,,4.4,0.1,161,7,5.9,0.3,50,1,,6.3,0.1,-3.9,0.3,34,3,336,6,
,232,60,1,,3.3,0.3,14S,7,4.7,0.4,42,3,,4.8,0.4,-3.1,0.3,30,5,341,7,
,,,,,,,,,,,,,,,,,,,,,,
D,87,15,69,,6.2,1.3,187,8,5.8,0.9,65,17,,7.4,1,-4.2,1.3,32,8,311,6,
41 59 N,,,,,,,,,,,,,,,,,,,,,,
67 47 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Great South Channel,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
M,145,10-H,56,,4.1,0.3,140,12,11.8,0.8,62,6,,11. 9,0. 8,-3.9,0.3,64,6,5,5,
40 51 N,171,10-R,56,,2.3,0.1,199,3,8.2,0.2,118,2,,8.2,0,-2.3,0,119,0,3,0,
68 49 W,116,51-H,15,,3.1,0.2,168,5,10,0.9,64,4,,10,0.9,-3,0.2,62,4,355,1,
,124,51-R,15,,2.6,0.1,239,2,6.2,0.1,108,1,,,6.6,-1.9,0,103,0,343,0,
,,,,,,,,,,,,,,,,,,,,,,
S,87,58,20,,2.6,0.7,155,20,9.5,0.7,64,4,,9.5,0.7,-2.6,0.6,65,3,360,5,
40 49 N,,,,,,,,,,,,,,,,,,,,,,
69 00 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GSC2,109,10,73,,4.1,0.3,173,5,9.7,0.2,98,2,,9.8,0,-3.9,0,101,0,8,0,8
40 51 N,152,42,41,,2.2,0.2,210,3,8.9,0.2,113,2,,8.9,0,-2.2,0,113,0,358,0,358
69 0 1W,152,76,7,,2.7,0.4,258,9,4.8,0.7,162,8,,4.8,0,-2.7,0,159,0,355,0,355
,,,,,,,,,,,,,,,,,,,,,,
N,145,68,15,,3.6,0.4,123,9,10,0.7,66,3,,10.2,0.6,-3,0.5,70,4,12,2,
40 51 N,,,,,,,,,,,,,,,,,,,,,,
69 0 1W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R,116,79,1,,3.3,0.4,109,23,4.5,0.7,56,7,,5,0.5,-2.3,0.9,70,6,29,8,
40 30 N,,,,,,,,,,,,,,,,,,,,,,
69 07 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GSCI,149,27,37,,2.3,0.1,165,0,8,0.1,117,1,,8.2,0,-1.7,0,119,0,11,0,
40 52 N,149,49,15,,2.7,0.1,138,2,7,0.1,113,1,,7.4,0,-1.1,0,116,0,20,0,
69 11 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Lydonia Canyon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LCA,116,80,20,,3.3,0.9,143,10,5.4,0.4,0.35,7,,5.6,0.3,-3,0.7,24,6,342,11,
40 34 N,58,99,1,,2,1.1,173,4,1.9,0.9,85,71,,2.6,1.3,-0.9,0.5,83,100,359,68,
67 45 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LCB,145,92,190,,2.9,1,139,25,3.9,0.3,38,18,,4.3,0.6,-2.4,0.8,34,32,353,30,
40 32 N,145,227,55,,1.1,0.4,175,88,2.1,0.9,336,93,,2.4,1,0.4,0.2,341,90,333,8,
67 43 W,116,277,5,,1. 5,0.1,67,85,2.4,1. 0,236,93,,2.9,0.9,-0.1,0.2,241,90,326,9,
,,,,,,,,,,,,,,,,,,,,,,
LCC,116,134,50,,1.6,0. 9,129,51,2.3,0.9,23,34,,2.5,0.9,-1.4,0.8,21,20,355,33,
40 49 N,,,,,,,,,,,,,,,,,,,,,,
67 44 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LCD,116,143,50,,2.1,0.8,125,28,4,0.9,38,21,,4.1,0.9,-2,0.9,42,19,6,10,
40 29 N,,,,,,,,,,,,,,,,,,,,,,
67 41 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LCE,145,116,484,,3,0.7,142,18,3.9,0.5,51,20,,4,0.5,-2.8,0.7,50,34,358,24,
40 25 N,145,216,384,,0.7,0.5,57,63,2.1,0.9,40,31,,2.2,0.7,-0.2,0.4,47,29,17,25,
67 40 W,145,595,5,,1.4,0.5,36,82,3.6,0.8,11,98,,3.8,0.9,0,0.5,16,97,21,5,
,,,,,,,,,,,,,,,,,,,,,,
LCF,145,205,300,,1.8,1,117,39,2,0.6,41,23,,2.3,0.8,-1.4,0.9,51,37,13,50,
