Table 5. M2 tidal current parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Record ,Instr,Above,Fourier Coefficients,,,,,,,,Current Ellipse Parameters,,,,,,,,,,,,,,
Station,Length,Depth,Bottom,East,Error,PHASE,Error,North,Error,PHASE,Error,Umajor,Error,Uminor,Error,PHASE,Error,Orien,Error,Lat. (N),,Long.(W),,,,
,(Days),(M),(M),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(CM/SEC),(CM/SEC),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(DEG TRUE),(DEG TRUE),DEG,MIN,DEG,MIN,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
M,145,10 H,56,29.2,1.7,118.0,6,72.8,3.2,35.0,3.0,73.2,3.1,28.9,1.8,36,2,3.0,2,40,51,68,49,,,
M,171,10 R,56,28.1,1.4,117.0,3,71.4,1.8,34.0,2.0,71.5,0.0,27.9,0.0,35,0.0,3.0,0.0,40,51,68,49,,,
M,116,51 H,15.0,21.9,1.7,124,2.0,59.6,1.9,30,1,59.6,2,21.8,1.7,29.0,1.0,358,1.0,40,51,68,49,,,
M,124,51 R,15,22.1,0.8,124,2.0,59.8,0.9,29,1,59.8,0.0,22,0,28.0,0.0,358,0.0,40,51,68,49,,,
B,87,58,20,18,1.1,97,9,57.7,1.2,26,1,58.0,1,16.9,1.9,28.0,1.0,6,3.0,40,49,69,0,,,
GSC2,109,10,73,29.1,2.4,108,5.0,70.5,1.8,40,2.0,71.5,0.0,26.6,0.0,44,0.0,10.0,0.0,40,51,69,1,,,
GSC2,152,32,41.0,27.9,2.0,107,3.0,69.3,1.7,37,2.0,70.1,0.0,25.9,0.0,40,0.0,9.0,0.0,40,51,69,1,,,
N,145,68,15,21.9,0.5,95,3.0,56.1,0.9,31.0,1.0,57.1,0.9,19.3,0.6,35,1.0,11.0,1.0,40,51,69,1,,,
R,116,79,1,17.3,0.9,66.0,7,23.7,1.4,13.0,4,26.7,0.6,12.2,0.8,28.0,3,31.0,5.0,40,30,69,1,,,
GSC1,149,27,37,28.6,0.7,89,2.0,59.6,0.9,40.0,1.0,62.9,0.0,20.5,0.0,47,0.0,20.0,0.0,40,52,69,11,,,
GSC1,149,49,15.0,27.3,1.0,77,2.0,48.6,0.7,33.0,1.0,53,0.0,17.4,0.0,42,0.0,25.0,0.0,40,52,69,11,,,
LCA,116,80,20,22.2,1.1,113,5.0,33.2,1.4,11.0,3,33.7,1.3,21.3,1.1,3.0,2,347.0,3.0,40,34,67,45,,,
LCA,58,99,1.0,10.4,2.3,119,10.0,16.6,1.7,357.0,3,17.6,1.5,8.3,3.1,346.0,0,337,2.0,40,34,67,45,,,
LCB,145,92,190,19,2.1,114,2.0,25.2,0.7,13,3.0,25.8,0.9,18.2,2.1,360,5.0,343,4.0,40,32,67,43,,,
LCB,145,227,55.0,2,0.9,75,58.0,3.8,2.3,248,72.0,4.3,2.3,0.4,1,244.0,70,327,18,40,32,67,43,,,
LCB,116,277,5.0,2.3,2.0,7,28.0,6.1,3.8,151,29.0,6.5,4.2,0.6,0.5,153.0,30,344,11,40,32,67,43,,,
LCC,116,134,50,9.1,2.4,113,4.0,15.6,3.5,2,2.0,16.2,3.6,8.1,2.1,353,3.0,343,4.0,40,29,67,44,,,
LCD,116,143,50,9.9,1.8,96,13.0,22.5,2.1,358,8.0,22.6,2.2,9.7,1.7,356.0,7,356.0,4,40,29,67,41,,,
LCE,145,116,484,11.6,2.7,125,6.0,18.9,1.9,23,4.0,19.1,2.0,11.2,2.7,17,4.0,350,3.0,40,25,67,40,,,
LCE,145,216,384.0,5.3,0.8,10,22.0,11.8,8.0,7,5.0,12.9,0.7,0.3,1.7,8,7,24,4,40,25,67,40,,,
LCE,145,595,5.0,6,0.6,21,12.0,14.7,1.2,24,13.0,15.8,1.3,0.3,0.6,23,13,22,1,40,25,67,40,,,
LCF,145,205,300,6.4,1.6,104,25.0,8.8,1.4,12,15.0,8.9,1.5,6.2,1.5,12,17.0,360,17.0,40,21,67,39,,,
LCF,174,405,100.0,5.4,0.8,355,7.0,4.4,0.4,358,9.0,7,0.8,0.2,0.4,356.0,7,51,3,40,21,67,39,,,
LCG,174,195,300,6.7,1.0,85,23.0,6.9,2.2,14,26.0,8.6,0.8,4.6,1.7,24,45.0,24,42.0,40,21,67,42,,,
LCG,174,395,100.0,3.1,0.5,21,9.0,4.2,0.6,357,6.0,5.1,0.7,1,0.2,5,8.0,36,5,40,21,67,42,,,
LCH*,145,290,1264,4.3,1.5,131.0,9,6.9,2.2,21.0,11,7.1,2.1,4.0,1.6,13.0,13,344.0,8,40,18,67,40,,,
LCH*,145,540,1014.0,1.6,0.4,31,23.0,3.3,1.0,312.0,20,3.4,0.9,1.5,0.4,307,43,355,30,40,18,67,40,,,
